textID,text,selected_text,sentiment
549e992a42, Sooo SAD I will miss you here in San Diego!!!,Sooo SAD,negative
088c60f138,my boss is bullying me...,bullying me,negative
9642c003ef, what interview! leave me alone,leave me alone,negative
358bd9e861," Sons of ****, why couldn`t they put them on the releases we already bought","Sons of ****,",negative
6e0c6d75b1,2am feedings for the baby are fun when he is all smiles and coos,fun,positive
fc2cbefa9d, Journey!? Wow... u just became cooler.  hehe... (is that possible!?),Wow... u just became cooler.,positive
16fab9f95b,I really really like the song Love Story by Taylor Swift,like,positive
74a76f6e0a,My Sharpie is running DANGERously low on ink,DANGERously,negative
04dd1d2e34,i want to go to music tonight but i lost my voice.,lost,negative
8a939bfb59,"Uh oh, I am sunburned","Uh oh, I am sunburned",negative
3440297f8b," S`ok, trying to plot alternatives as we speak *sigh*",*sigh*,negative
919fa93391,"i`ve been sick for the past few days  and thus, my hair looks wierd.  if i didnt have a hat on it would look... http://tinyurl.com/mnf4kw",sick,negative
af3fed7fc3,is back home now      gonna miss every one,onna,negative
e48b0b8a23,Playing Ghost Online is really interesting. The new updates are Kirin pet and Metamorph for third job.  Can`t wait to have a dragon pet,interesting.,positive
e00c6ef376,"the free fillin` app on my ipod is fun, im addicted","the free fillin` app on my ipod is fun, im addicted",positive
852edc3769,  I`m sorry.,I`m sorry.,negative
bdc32ea43c,On the way to Malaysia...no internet access to Twit,.no internet,negative
6ce4a4954b,juss came backk from Berkeleyy ; omg its madd fun out there  havent been out there in a minute . whassqoodd ?,fun,positive
d22e6d40a7,Went to sleep and there is a power cut in Noida  Power back up not working too,Power back up not working too,negative
d33f811375,I`m going home now. Have you seen my new twitter design? Quite....heavenly isn`****?,Quite....heavenly,positive
7d8c4c11e4,i hope unni will make the audition . fighting dahye unni !,hope,positive
1c31703aef, If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,well so much for being unhappy for about 10 minute,negative
2dc51711bc, That`s very funny.  Cute kids.,funny.,positive
2724775d6b,Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY,miss,negative
4b61dffbeb,i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,soooooo sleeeeepy!!!,negative
2863f435bd,"A little happy for the wine jeje ok it`sm my free time so who cares, jaja i love this day",A little happy fo,positive
fab6b7d16c,im an avid fan of **** magazine and i love your magazines,avid fan of,positive
c77717b103, I love to! But I`m only available from 5pm.  and where dear? Would love to help  convert her vids.ï¿½,I love to!,positive
